iter	TotalF1	MultiClass
0	0.5661556017	1.031470219
1	0.6611278448	0.9604563281
2	0.6714530982	0.9281206224
3	0.771324062	0.8709047446
4	0.8275984023	0.8296959851
5	0.8310522769	0.7891201063
6	0.8381501972	0.7585771014
7	0.8611988271	0.7000399064
8	0.8843026438	0.6589212432
9	0.9082443666	0.623332978
10	0.9288862546	0.5909940832
11	0.9410876007	0.563966432
12	0.9323204409	0.5429845077
13	0.9420263438	0.5282024555
14	0.9635261955	0.4982445479
15	0.9635261955	0.4607093062
16	0.9697541069	0.4442762727
17	0.9667228059	0.4122758845
18	0.9761475317	0.3898301919
19	0.9761475317	0.3675735313
20	0.9761475317	0.3605441608
21	0.9761475317	0.3426936614
22	0.9822935521	0.3270255141
23	0.9747275812	0.3186561078
24	0.9785116098	0.3044980166
25	0.9817352774	0.2946761027
26	0.9817561786	0.2737646126
27	0.9855177264	0.264208074
28	0.9925023559	0.2575923221
29	0.9925023559	0.2424632121
30	0.9925023559	0.2291507193
31	0.9925023559	0.2186964362
32	0.9925023559	0.2094455864
33	0.9925023559	0.2012875956
34	0.9962619035	0.1918228223
35	0.9962619035	0.1845437333
36	0.9962619035	0.1777418702
37	0.9962619035	0.1672387398
38	0.9962619035	0.1625218767
39	0.9962619035	0.1527194442
40	0.9962619035	0.1462052534
41	0.9962619035	0.1411384607
42	1	0.1368806972
43	1	0.1294517434
44	0.9962619035	0.1259104957
45	0.9962619035	0.1217588858
46	1	0.1167249921
47	1	0.1097631628
48	1	0.1061487814
49	1	0.1029667007
50	1	0.1011194246
51	1	0.0982200341
52	1	0.09375612265
53	1	0.09048990063
54	1	0.08982940963
55	1	0.08295124237
56	1	0.08061013788
57	1	0.07760804608
58	1	0.07492811937
59	1	0.07261712156
60	1	0.07139022512
61	1	0.06882472781
62	1	0.06334453479
63	1	0.05959426072
64	1	0.05549722004
65	1	0.05431772449
66	1	0.05274339509
67	1	0.04986027511
68	1	0.0479824043
69	1	0.04627927264
70	1	0.04344970594
71	1	0.04242020751
72	1	0.03981184079
73	1	0.03812289186
74	1	0.03601653428
75	1	0.03437615917
76	1	0.03244062152
77	1	0.03141207127
78	1	0.03027192035
79	1	0.02888071761
80	1	0.02831619704
81	1	0.02686486335
82	1	0.02533475581
83	1	0.02367260938
84	1	0.02317861286
85	1	0.02247239187
86	1	0.02169249561
87	1	0.01992653498
88	1	0.01871068975
89	1	0.01791872517
90	1	0.01701607451
91	1	0.01670422671
92	1	0.01591681464
93	1	0.01455147588
94	1	0.0140145164
95	1	0.01381493982
96	1	0.0133286471
97	1	0.0128308215
98	1	0.01232264198
99	1	0.01189324523
