iter	TotalF1	MultiClass
0	0.6101396997	1.056272321
1	0.669826441	0.9895784121
2	0.7083613136	0.9595681543
3	0.7306965643	0.8858508386
4	0.763500781	0.8331038821
5	0.8169129514	0.7972009769
6	0.8456956535	0.7585324348
7	0.8610966784	0.7235890524
8	0.8774952679	0.6893386007
9	0.8914606396	0.6341266329
10	0.907947097	0.5894235855
11	0.9181721592	0.5542971286
12	0.9294754823	0.4994292127
13	0.9294754823	0.4822788161
14	0.9395659639	0.4554166709
15	0.95549616	0.4226447245
16	0.9654796151	0.4043292506
17	0.9725400503	0.3821612213
18	0.9758030669	0.3729740648
19	0.9758030669	0.3633607632
20	0.9758030669	0.3432536156
21	0.9795989427	0.3330649526
22	0.9828666091	0.3225668587
23	0.9828666091	0.3093960683
24	0.9828666091	0.2951488663
25	0.9861341365	0.2819192426
26	0.9861341365	0.2760408794
27	0.9861341365	0.265363488
28	0.9861341365	0.2483447334
29	0.9861341365	0.2275818712
30	0.9924232642	0.2186935874
31	0.9924232642	0.2071933569
32	0.996211999	0.2024010682
33	0.996211999	0.1942457245
34	1	0.1871328325
35	1	0.1767415782
36	1	0.1721545338
37	1	0.1608505579
38	1	0.1535422813
39	1	0.1461979767
40	1	0.1374743494
41	1	0.1329570725
42	1	0.130923232
43	1	0.1267527448
44	1	0.1194009995
45	1	0.1160336268
46	1	0.1118957613
47	1	0.1029851895
48	1	0.09858891677
49	1	0.09263954238
50	1	0.09093783929
51	1	0.08869698608
52	1	0.08700739362
53	1	0.08231529566
54	1	0.07893041355
55	1	0.07611816619
56	1	0.07381075526
57	1	0.07047228955
58	1	0.06607730228
59	1	0.06494744259
60	1	0.06338798877
61	1	0.06127767321
62	1	0.05696558237
63	1	0.05476272899
64	1	0.05336683276
65	1	0.05141712968
66	1	0.04845057543
67	1	0.04488488325
68	1	0.04368697993
69	1	0.0425792252
70	1	0.04098694812
71	1	0.03922060871
72	1	0.0386730891
73	1	0.03806758672
74	1	0.03610341113
75	1	0.035639074
76	1	0.0343806508
77	1	0.03301371635
78	1	0.03221247954
79	1	0.03112540011
80	1	0.02965402473
81	1	0.02775764341
82	1	0.02638791123
83	1	0.02554236303
84	1	0.02453388265
85	1	0.02418385816
86	1	0.0238257018
87	1	0.0225964719
88	1	0.02174383287
89	1	0.02101115884
90	1	0.02004118845
91	1	0.01984970414
92	1	0.01891765423
93	1	0.01836670426
94	1	0.01799444532
95	1	0.01724926259
96	1	0.01669459258
97	1	0.01629765128
98	1	0.01587059608
99	1	0.01548894304
