iter	TotalF1	MultiClass
0	0.540381225	1.059677313
1	0.6064855239	1.019164263
2	0.7038513218	0.9708711248
3	0.7717158311	0.920651715
4	0.7547001153	0.8654120399
5	0.7898242361	0.8164335945
6	0.8394583217	0.7627127033
7	0.8483567985	0.7215757831
8	0.8902917864	0.6449524603
9	0.9081100436	0.6055522611
10	0.9081100436	0.5809940602
11	0.9211932188	0.5536909399
12	0.9250798094	0.533406928
13	0.9337044224	0.4997457113
14	0.9451246729	0.4578822975
15	0.9548329901	0.4335200317
16	0.9548329901	0.4192012139
17	0.9548329901	0.3989976117
18	0.9578199922	0.3748663519
19	0.9610843823	0.3534901699
20	0.9643483168	0.3391172502
21	0.9687251054	0.3183619238
22	0.9687251054	0.3093172085
23	0.968171468	0.2904471075
24	0.97143674	0.2774438985
25	0.97143674	0.2719985918
26	0.97143674	0.2617389609
27	0.9809215013	0.246021099
28	0.97143674	0.2420218454
29	0.977655369	0.2307774178
30	0.977655369	0.2257513543
31	0.9809215013	0.2196419862
32	0.9809215013	0.2096783632
33	0.9847574257	0.1989339672
34	0.9847574257	0.1884828197
35	0.9847574257	0.1806230715
36	0.9847574257	0.175756935
37	0.988591096	0.1736557074
38	0.9924021043	0.1665067534
39	0.9924021043	0.1610026946
40	0.9924021043	0.1507077493
41	0.9924021043	0.1411303786
42	0.996211999	0.13558726
43	0.996211999	0.1264980851
44	0.996211999	0.1218932072
45	0.996211999	0.1189647074
46	1	0.1162899676
47	1	0.1130479559
48	1	0.107116485
49	1	0.1042367031
50	1	0.1005051765
51	1	0.09926342807
52	1	0.09591884673
53	1	0.09335818777
54	1	0.09197784883
55	1	0.08855557718
56	1	0.0864592441
57	1	0.08273857217
58	1	0.08105219053
59	1	0.07709465611
60	1	0.07608033583
61	1	0.07276084676
62	1	0.06581357335
63	1	0.06132570913
64	1	0.05818300458
65	1	0.0555037254
66	1	0.05324670455
67	1	0.05103362882
68	1	0.04920779527
69	1	0.0474905244
70	1	0.04533006497
71	1	0.04414677098
72	1	0.04299507535
73	1	0.04160016701
74	1	0.0402572509
75	1	0.0375935921
76	1	0.03591012779
77	1	0.03487147201
78	1	0.03441011998
79	1	0.03309677692
80	1	0.03126086067
81	1	0.02979880561
82	1	0.02882350939
83	1	0.02824948433
84	1	0.02669333377
85	1	0.02558724083
86	1	0.02482928156
87	1	0.02394615321
88	1	0.02325650805
89	1	0.02279342999
90	1	0.02150569031
91	1	0.0206178578
92	1	0.01953977209
93	1	0.0183747994
94	1	0.01699067425
95	1	0.01637123272
96	1	0.01600146707
97	1	0.01526283156
98	1	0.01459136304
99	1	0.0142934744
