iter	TotalF1	MultiClass
0	0.6103240488	1.018745719
1	0.6728601377	0.954690704
2	0.7294151567	0.8968595948
3	0.8134165075	0.8436873942
4	0.8351343935	0.7889687479
5	0.863696583	0.7377379015
6	0.8904657485	0.691567326
7	0.9068571314	0.6441364904
8	0.9323153727	0.6037101201
9	0.9327472635	0.5582254825
10	0.9458609289	0.5370846919
11	0.9557186657	0.5183172814
12	0.9556763288	0.4925673455
13	0.9621852982	0.4752259103
14	0.9654056045	0.4408542192
15	0.9691545578	0.4014472187
16	0.9691545578	0.3888951359
17	0.9729013166	0.3631069055
18	0.9729013166	0.3563957742
19	0.9766433676	0.3490071788
20	0.9766433676	0.3418899507
21	0.9766433676	0.3321808535
22	0.9798814163	0.3231075491
23	0.9898115577	0.3062289943
24	0.9898115577	0.300178103
25	0.9930368814	0.2863544335
26	0.9967749755	0.2759387268
27	0.9967749755	0.2604973164
28	0.9967749755	0.2504220809
29	0.9967749755	0.235793483
30	0.9967749755	0.2224511017
31	0.9967749755	0.2167668664
32	0.9967749755	0.207061967
33	0.996261811	0.1983809371
34	0.996261811	0.1900653429
35	0.996261811	0.1851573806
36	1	0.1777174289
37	1	0.172933553
38	1	0.16676907
39	1	0.1571989655
40	1	0.1523531202
41	1	0.1417446348
42	1	0.1379422033
43	1	0.1299936006
44	1	0.1246573913
45	1	0.1203396591
46	1	0.1170708207
47	1	0.1144092179
48	1	0.1113104409
49	1	0.1043196064
50	1	0.1031782025
51	1	0.09402174088
52	1	0.09119485353
53	1	0.08618506058
54	1	0.08431442962
55	1	0.08187731557
56	1	0.07965784305
57	1	0.0762870751
58	1	0.07244053888
59	1	0.07154988162
60	1	0.06840972104
61	1	0.06657178779
62	1	0.06289036101
63	1	0.05984364662
64	1	0.05653681779
65	1	0.05534289089
66	1	0.05179739613
67	1	0.04880715906
68	1	0.0472063286
69	1	0.04518155646
70	1	0.04303574268
71	1	0.04174244292
72	1	0.04072928161
73	1	0.03983244769
74	1	0.03793130612
75	1	0.03698539472
76	1	0.0357536779
77	1	0.0350105377
78	1	0.0348919275
79	1	0.03271156523
80	1	0.03159187393
81	1	0.03084551383
82	1	0.02896799627
83	1	0.02741568081
84	1	0.02664349461
85	1	0.02606654237
86	1	0.02547999074
87	1	0.02488132012
88	1	0.02420948241
89	1	0.0235351698
90	1	0.02249100269
91	1	0.0210913552
92	1	0.02013495325
93	1	0.01970659716
94	1	0.01882044124
95	1	0.01815285494
96	1	0.01750904818
97	1	0.01670684409
98	1	0.0163905461
99	1	0.01576362639
