iter	TotalF1	MultiClass
0	0.5441727196	1.050867894
1	0.6470188471	1.011700124
2	0.6970749892	0.9595461128
3	0.7496580047	0.9044823291
4	0.8013454162	0.8560256647
5	0.8238482299	0.7909149056
6	0.8643473958	0.7514168401
7	0.8809356424	0.7025169711
8	0.903101398	0.655452478
9	0.9105025579	0.6176584846
10	0.9173572058	0.5888012827
11	0.9169045242	0.5562036394
12	0.9164383303	0.5388635105
13	0.9293924506	0.507192504
14	0.9288918361	0.4657531201
15	0.9391925624	0.4334855561
16	0.9423962912	0.4183971059
17	0.9423962912	0.404804861
18	0.9423962912	0.3928455941
19	0.9461162619	0.3810771326
20	0.9567545471	0.3475153789
21	0.9599625703	0.333216855
22	0.9694560727	0.3238198063
23	0.9694560727	0.312341767
24	0.9694560727	0.3047167614
25	0.9694560727	0.2959200478
26	0.9726784728	0.2736740576
27	0.9788206671	0.2614189336
28	0.9788206671	0.2494173638
29	0.9788206671	0.2357528535
30	0.986330005	0.2236271476
31	0.986330005	0.2159516964
32	0.986330005	0.207714235
33	0.986330005	0.1932982251
34	0.9925023559	0.1797086089
35	0.9925023559	0.1715552994
36	0.996261811	0.1615827036
37	0.996261811	0.1539850862
38	0.996261811	0.1480976759
39	0.996261811	0.1441755348
40	0.996261811	0.1369676849
41	1	0.1324279753
42	1	0.1279622903
43	1	0.1177829745
44	1	0.1140185132
45	1	0.1092825164
46	1	0.1064414996
47	1	0.1022986651
48	1	0.09723277787
49	1	0.09166966852
50	1	0.08574352665
51	1	0.08253214814
52	1	0.07934854926
53	1	0.07537842083
54	1	0.07404265327
55	1	0.07057780484
56	1	0.06790759366
57	1	0.06499309071
58	1	0.06169408016
59	1	0.0588104901
60	1	0.05660931976
61	1	0.05369898006
62	1	0.05241296873
63	1	0.04997216998
64	1	0.04798512248
65	1	0.04553013237
66	1	0.0436711008
67	1	0.04148238895
68	1	0.03968881873
69	1	0.03898495661
70	1	0.03584485566
71	1	0.03439633817
72	1	0.03346548264
73	1	0.03236459326
74	1	0.03093169458
75	1	0.03036399734
76	1	0.02861005987
77	1	0.02812514591
78	1	0.02721902583
79	1	0.02592333834
80	1	0.02508231865
81	1	0.02420419647
82	1	0.02240387517
83	1	0.02165924022
84	1	0.02091029183
85	1	0.0201494229
86	1	0.01921745205
87	1	0.01827687302
88	1	0.01772169665
89	1	0.01728446972
90	1	0.01571004005
91	1	0.01513835784
92	1	0.01465348278
93	1	0.01416491138
94	1	0.01366186677
95	1	0.01347413669
96	1	0.01275232102
97	1	0.01239633699
98	1	0.012098772
99	1	0.01159927776
