iter	TotalF1	MultiClass
0	0.5910117446	1.045227065
1	0.6442757086	1.003412313
2	0.661218605	0.9506065658
3	0.7217506051	0.8835998707
4	0.7549594965	0.8413890628
5	0.7857825746	0.7880535503
6	0.8348292563	0.7434236486
7	0.8353226798	0.7177466681
8	0.8588453934	0.6710214847
9	0.8748909861	0.6290791806
10	0.9038852827	0.6044558303
11	0.9097358749	0.5572823273
12	0.9251848188	0.525781787
13	0.9251848188	0.5130893195
14	0.9420538352	0.4829908455
15	0.9420538352	0.4540365764
16	0.9382332003	0.4407961108
17	0.9483367729	0.4180108665
18	0.9483367729	0.4044718109
19	0.9515987624	0.394295561
20	0.9586602555	0.3797508711
21	0.9624636741	0.3633438114
22	0.9662582	0.3511351976
23	0.9733337628	0.339178648
24	0.9733337628	0.3341575022
25	0.9796528906	0.3192610949
26	0.9796528906	0.30704323
27	0.9796528906	0.300053516
28	0.9796528906	0.2847180986
29	0.9829357058	0.2673926647
30	0.9929440448	0.2452276023
31	0.9929440448	0.2354666779
32	0.9929440448	0.2284659986
33	0.9929440448	0.2173305066
34	0.9929440448	0.2089779168
35	0.9929440448	0.2015940281
36	0.9929440448	0.1930263706
37	0.996211999	0.1842591608
38	0.996211999	0.1732566641
39	0.996211999	0.1642539222
40	1	0.1589292404
41	1	0.1551553878
42	1	0.1457588074
43	1	0.1379676455
44	1	0.1338071074
45	1	0.1275602218
46	1	0.1232351061
47	1	0.1161048456
48	1	0.1088451114
49	1	0.1023606752
50	1	0.09951997971
51	1	0.09829638432
52	1	0.09688351019
53	1	0.09022574682
54	1	0.0821536203
55	1	0.07637676162
56	1	0.07232011707
57	1	0.06910452793
58	1	0.06582367709
59	1	0.06500425608
60	1	0.06352512372
61	1	0.06093837469
62	1	0.05971767666
63	1	0.05812530391
64	1	0.05484095732
65	1	0.05331425084
66	1	0.05212654422
67	1	0.05038098511
68	1	0.0487190932
69	1	0.04740550669
70	1	0.04387345934
71	1	0.04247706886
72	1	0.0412562225
73	1	0.03949196115
74	1	0.03720573198
75	1	0.03571704834
76	1	0.03489467883
77	1	0.03374736017
78	1	0.03266964344
79	1	0.03112685772
80	1	0.03033361121
81	1	0.02840491979
82	1	0.02734106173
83	1	0.02637461904
84	1	0.02545131569
85	1	0.02513058558
86	1	0.02472613291
87	1	0.02399234917
88	1	0.02279870494
89	1	0.02124533464
90	1	0.02066348079
91	1	0.01994532585
92	1	0.01937917771
93	1	0.01853907841
94	1	0.01778114696
95	1	0.01674260588
96	1	0.01613784181
97	1	0.01566068938
98	1	0.01518343348
99	1	0.01449446485
