iter	TotalF1	MultiClass
0	0.5672998072	1.037736323
1	0.6557149197	0.9838663798
2	0.7228612625	0.9324086262
3	0.7744623842	0.8735886781
4	0.787751542	0.8424145898
5	0.8184856454	0.8018898215
6	0.8300955297	0.7571930555
7	0.8535545647	0.7166613819
8	0.8573515009	0.6917817451
9	0.8958783944	0.6474353757
10	0.9062702505	0.624514916
11	0.9229245647	0.5915910421
12	0.936307305	0.5512446553
13	0.9465104631	0.5163077056
14	0.9720744845	0.472179703
15	0.9692801177	0.4414816309
16	0.9758480818	0.416935855
17	0.9758480818	0.4006152872
18	0.9758480818	0.3919074544
19	0.9790773845	0.384649516
20	0.9790773845	0.3717172644
21	0.9790773845	0.3569366553
22	0.9790773845	0.3462514731
23	0.9828666091	0.3324457366
24	0.9828666091	0.3277692045
25	0.9828666091	0.314509018
26	0.9828666091	0.3065523267
27	0.9828666091	0.2974941481
28	0.9790699655	0.2883819988
29	0.9790699655	0.2752795552
30	0.9823369069	0.2650494969
31	0.9861474469	0.2594053199
32	0.9861474469	0.2458383043
33	0.9861474469	0.2335758214
34	0.9861474469	0.2282277761
35	0.9861474469	0.2184822581
36	0.9899570695	0.2099238176
37	0.9899570695	0.2042415357
38	0.9899570695	0.193222383
39	0.9937101318	0.1845756349
40	0.9937101318	0.1785153293
41	0.9937101318	0.1741913239
42	1	0.1642143004
43	1	0.1569583707
44	1	0.1507789755
45	1	0.1464592797
46	1	0.1414542058
47	1	0.132771442
48	1	0.1278239437
49	1	0.1214284684
50	1	0.1159145745
51	1	0.1137514056
52	1	0.1109597855
53	1	0.1041936753
54	1	0.09691878435
55	1	0.09184135501
56	1	0.08844004769
57	1	0.08370891929
58	1	0.08229569169
59	1	0.08010372866
60	1	0.07711185731
61	1	0.07369486074
62	1	0.07204808538
63	1	0.06986306553
64	1	0.06722862026
65	1	0.06370716749
66	1	0.05971679804
67	1	0.05579734086
68	1	0.05290780568
69	1	0.05063765458
70	1	0.04662494084
71	1	0.04555410172
72	1	0.04427887906
73	1	0.04311873848
74	1	0.04083863777
75	1	0.04008094407
76	1	0.03732715009
77	1	0.03678042109
78	1	0.03568252259
79	1	0.03313983461
80	1	0.0326691494
81	1	0.03143341993
82	1	0.0307015212
83	1	0.02964231253
84	1	0.02878426602
85	1	0.02834486091
86	1	0.02700929843
87	1	0.02591222866
88	1	0.02510161518
89	1	0.02433293681
90	1	0.02384564221
91	1	0.02268846678
92	1	0.02193486948
93	1	0.02155767446
94	1	0.02055846177
95	1	0.01940438235
96	1	0.01837414532
97	1	0.0180004237
98	1	0.01724958896
99	1	0.01690398227
